,dt,temperatura_promedio,temperatura_maxima,incertidumbre
150,1900-01-01,8.501583333333333,14.3895,0.31475000000000003
151,1901-01-01,8.541916666666665,14.512166666666667,0.30624999999999997
152,1902-01-01,8.304416666666667,14.36425,0.29275
153,1903-01-01,8.220166666666668,14.085749999999997,0.29
154,1904-01-01,8.090916666666667,14.063666666666663,0.2864166666666667
155,1905-01-01,8.225166666666665,14.082166666666668,0.27875
156,1906-01-01,8.379083333333332,14.244,0.27491666666666664
157,1907-01-01,7.947166666666667,13.807833333333335,0.2571666666666666
158,1908-01-01,8.186083333333334,14.038750000000002,0.27475
159,1909-01-01,8.17825,14.026583333333337,0.26275
160,1910-01-01,8.223,14.097333333333333,0.26008333333333333
161,1911-01-01,8.177000000000001,13.987833333333334,0.24783333333333335
162,1912-01-01,8.165416666666667,14.053333333333335,0.2584166666666667
163,1913-01-01,8.297749999999999,14.201749999999999,0.26225000000000004
164,1914-01-01,8.5905,14.314500000000002,0.2519166666666666
165,1915-01-01,8.593166666666665,14.474166666666667,0.24616666666666667
166,1916-01-01,8.22525,14.097166666666665,0.26041666666666663
167,1917-01-01,8.023333333333332,13.925916666666666,0.26066666666666666
168,1918-01-01,8.130833333333332,13.961083333333333,0.26825000000000004
169,1919-01-01,8.38225,14.15633333333333,0.26675000000000004
170,1920-01-01,8.35875,14.142666666666669,0.2626666666666667
171,1921-01-01,8.571,14.424416666666668,0.2568333333333334
172,1922-01-01,8.408,14.20525,0.25858333333333333
173,1923-01-01,8.422166666666666,14.181750000000001,0.2530833333333334
174,1924-01-01,8.506833333333335,14.223833333333332,0.2568333333333333
175,1925-01-01,8.534416666666667,14.344333333333333,0.24075
176,1926-01-01,8.728833333333332,14.45225,0.2426666666666667
177,1927-01-01,8.522083333333333,14.297833333333335,0.2489166666666667
178,1928-01-01,8.632166666666668,14.362166666666665,0.2485833333333333
179,1929-01-01,8.242416666666665,13.95641666666667,0.25175
180,1930-01-01,8.633583333333332,14.326250000000002,0.23966666666666667
181,1931-01-01,8.71925,14.41975,0.23775
182,1932-01-01,8.705250000000001,14.432083333333333,0.2489166666666667
183,1933-01-01,8.33825,14.078333333333331,0.2426666666666667
184,1934-01-01,8.628333333333336,14.38425,0.24008333333333334
185,1935-01-01,8.51575,14.286916666666665,0.23591666666666666
186,1936-01-01,8.554,14.314583333333333,0.2430833333333334
187,1937-01-01,8.698333333333332,14.476333333333335,0.24008333333333332
188,1938-01-01,8.863666666666665,14.649916666666668,0.24050000000000002
189,1939-01-01,8.760333333333334,14.594666666666667,0.2373333333333333
190,1940-01-01,8.764666666666667,14.579083333333335,0.2310833333333333
191,1941-01-01,8.768666666666668,14.536166666666666,0.22783333333333333
192,1942-01-01,8.728416666666666,14.53425,0.2295
193,1943-01-01,8.755083333333333,14.603000000000002,0.22658333333333336
194,1944-01-01,8.845,14.727166666666664,0.22516666666666665
195,1945-01-01,8.584833333333332,14.438749999999999,0.2203333333333333
196,1946-01-01,8.676916666666669,14.481500000000002,0.22241666666666662
197,1947-01-01,8.797083333333333,14.562500000000002,0.21708333333333332
198,1948-01-01,8.74675,14.615583333333335,0.20958333333333332
199,1949-01-01,8.586749999999999,14.414666666666664,0.20825000000000002
200,1950-01-01,8.365250000000001,14.17375,0.18633333333333335
201,1951-01-01,8.625666666666666,14.43016666666667,0.18416666666666667
202,1952-01-01,8.638250000000001,14.462583333333335,0.20875000000000002
203,1953-01-01,8.873750000000001,14.639249999999999,0.21208333333333332
204,1954-01-01,8.560666666666666,14.286583333333333,0.18716666666666668
205,1955-01-01,8.62625,14.329083333333331,0.15358333333333332
206,1956-01-01,8.279583333333333,14.023666666666664,0.1208333333333333
207,1957-01-01,8.7325,14.381916666666667,0.158
208,1958-01-01,8.77375,14.477499999999997,0.10433333333333335
209,1959-01-01,8.732666666666665,14.4165,0.10716666666666665
210,1960-01-01,8.58375,14.317416666666665,0.09349999999999999
211,1961-01-01,8.797666666666666,14.514916666666664,0.09699999999999999
212,1962-01-01,8.745916666666666,14.54016666666667,0.13291666666666666
213,1963-01-01,8.856,14.612250000000003,0.09233333333333334
214,1964-01-01,8.409666666666666,14.156833333333333,0.09250000000000001
215,1965-01-01,8.527416666666667,14.268416666666667,0.10883333333333334
216,1966-01-01,8.599333333333332,14.325916666666666,0.09225
217,1967-01-01,8.700083333333334,14.4065,0.08366666666666667
218,1968-01-01,8.516333333333334,14.164250000000003,0.11166666666666668
219,1969-01-01,8.595083333333333,14.212083333333332,0.08516666666666667
220,1970-01-01,8.700916666666666,14.403250000000002,0.07558333333333332
221,1971-01-01,8.59925,14.35275,0.09791666666666667
222,1972-01-01,8.499583333333334,14.164916666666663,0.09533333333333334
223,1973-01-01,8.948249999999998,14.565999999999997,0.10074999999999999
224,1974-01-01,8.4675,14.08191666666667,0.1045
225,1975-01-01,8.744833333333334,14.383666666666665,0.09708333333333334
226,1976-01-01,8.347249999999999,14.008000000000001,0.10058333333333336
227,1977-01-01,8.850249999999999,14.4855,0.08466666666666665
228,1978-01-01,8.692749999999998,14.28125,0.10383333333333335
229,1979-01-01,8.733416666666665,14.457750000000003,0.08641666666666666
230,1980-01-01,8.980333333333332,14.672916666666667,0.10666666666666669
231,1981-01-01,9.165833333333333,14.85516666666667,0.08725000000000001
232,1982-01-01,8.639166666666666,14.300916666666666,0.08266666666666668
233,1983-01-01,9.028166666666666,14.679833333333335,0.09399999999999999
234,1984-01-01,8.691833333333335,14.342666666666666,0.10258333333333336
235,1985-01-01,8.658,14.267166666666668,0.09324999999999999
